Entries_Per_Slot,Number_Of_Slots,Percentage
1074,2,0.20060180541624875
1031,8,0.802407221664995
1027,12,1.2036108324974923
992,14,1.4042126379137412
1028,13,1.3039117352056169
986,15,1.5045135406218655
996,13,1.3039117352056169
1022,16,1.60481444332999
982,18,1.8054162487462388
973,8,0.802407221664995
1009,16,1.60481444332999
1005,12,1.2036108324974923
1025,14,1.4042126379137412
998,11,1.103309929789368
987,13,1.3039117352056169
983,8,0.802407221664995
976,13,1.3039117352056169
1016,12,1.2036108324974923
1013,16,1.60481444332999
990,12,1.2036108324974923
1008,13,1.3039117352056169
962,4,0.4012036108324975
1101,1,0.10030090270812438
1014,10,1.0030090270812437
1039,9,0.9027081243731194
1035,7,0.7021063189568706
936,3,0.3009027081243731
1082,2,0.20060180541624875
1024,9,0.9027081243731194
1038,6,0.6018054162487462
974,14,1.4042126379137412
995,18,1.8054162487462388
944,3,0.3009027081243731
969,7,0.7021063189568706
991,12,1.2036108324974923
956,5,0.5015045135406219
1007,10,1.0030090270812437
950,4,0.4012036108324975
947,2,0.20060180541624875
999,12,1.2036108324974923
1026,10,1.0030090270812437
918,1,0.10030090270812438
948,2,0.20060180541624875
1010,9,0.9027081243731194
1006,12,1.2036108324974923
975,10,1.0030090270812437
1034,5,0.5015045135406219
979,15,1.5045135406218655
1002,10,1.0030090270812437
961,4,0.4012036108324975
1053,9,0.9027081243731194
1017,11,1.103309929789368
1089,1,0.10030090270812438
1044,6,0.6018054162487462
951,2,0.20060180541624875
1033,10,1.0030090270812437
993,11,1.103309929789368
942,2,0.20060180541624875
1011,12,1.2036108324974923
1036,11,1.103309929789368
1001,9,0.9027081243731194
1068,7,0.7021063189568706
988,13,1.3039117352056169
980,9,0.9027081243731194
989,9,0.9027081243731194
985,10,1.0030090270812437
1070,1,0.10030090270812438
940,4,0.4012036108324975
1029,14,1.4042126379137412
1023,3,0.3009027081243731
1000,9,0.9027081243731194
1087,1,0.10030090270812438
1048,3,0.3009027081243731
1047,1,0.10030090270812438
1037,6,0.6018054162487462
1012,13,1.3039117352056169
1060,3,0.3009027081243731
968,8,0.802407221664995
1019,3,0.3009027081243731
994,14,1.4042126379137412
1054,6,0.6018054162487462
972,9,0.9027081243731194
1069,1,0.10030090270812438
1015,3,0.3009027081243731
970,9,0.9027081243731194
943,4,0.4012036108324975
1043,4,0.4012036108324975
949,3,0.3009027081243731
1030,8,0.802407221664995
1003,9,0.9027081243731194
958,2,0.20060180541624875
954,4,0.4012036108324975
981,7,0.7021063189568706
959,6,0.6018054162487462
964,7,0.7021063189568706
997,10,1.0030090270812437
1020,17,1.7051153460381143
984,9,0.9027081243731194
1018,3,0.3009027081243731
978,13,1.3039117352056169
1056,3,0.3009027081243731
1045,6,0.6018054162487462
971,6,0.6018054162487462
1064,2,0.20060180541624875
1106,1,0.10030090270812438
1021,4,0.4012036108324975
1040,9,0.9027081243731194
945,3,0.3009027081243731
960,6,0.6018054162487462
957,5,0.5015045135406219
966,3,0.3009027081243731
1049,3,0.3009027081243731
977,8,0.802407221664995
1032,11,1.103309929789368
1062,3,0.3009027081243731
1063,3,0.3009027081243731
965,4,0.4012036108324975
1046,6,0.6018054162487462
1004,14,1.4042126379137412
1052,4,0.4012036108324975
963,6,0.6018054162487462
938,1,0.10030090270812438
1105,1,0.10030090270812438
946,2,0.20060180541624875
1042,5,0.5015045135406219
955,5,0.5015045135406219
1066,2,0.20060180541624875
1050,1,0.10030090270812438
953,3,0.3009027081243731
934,3,0.3009027081243731
1061,1,0.10030090270812438
930,1,0.10030090270812438
952,5,0.5015045135406219
1041,3,0.3009027081243731
967,3,0.3009027081243731
916,1,0.10030090270812438
1093,1,0.10030090270812438
1059,4,0.4012036108324975
1067,2,0.20060180541624875
1065,1,0.10030090270812438
1051,2,0.20060180541624875
1096,1,0.10030090270812438
933,1,0.10030090270812438
928,1,0.10030090270812438
920,1,0.10030090270812438
1081,1,0.10030090270812438
919,1,0.10030090270812438
1091,2,0.20060180541624875
1057,3,0.3009027081243731
912,1,0.10030090270812438
1073,1,0.10030090270812438
924,1,0.10030090270812438
1092,1,0.10030090270812438
932,1,0.10030090270812438
