Entries_Per_Slot,Number_Of_Slots,Percentage
1054,7,0.7021063189568706
1002,11,1.103309929789368
1011,9,0.9027081243731194
1074,1,0.10030090270812438
952,5,0.5015045135406219
975,9,0.9027081243731194
995,12,1.2036108324974923
969,6,0.6018054162487462
1006,13,1.3039117352056169
1023,7,0.7021063189568706
1000,13,1.3039117352056169
985,16,1.60481444332999
1038,11,1.103309929789368
1025,10,1.0030090270812437
1028,12,1.2036108324974923
998,13,1.3039117352056169
992,7,0.7021063189568706
954,7,0.7021063189568706
983,10,1.0030090270812437
1001,6,0.6018054162487462
981,12,1.2036108324974923
960,11,1.103309929789368
1012,20,2.0060180541624875
1049,5,0.5015045135406219
1016,13,1.3039117352056169
1031,10,1.0030090270812437
976,10,1.0030090270812437
1019,9,0.9027081243731194
988,14,1.4042126379137412
1021,13,1.3039117352056169
972,12,1.2036108324974923
977,14,1.4042126379137412
963,11,1.103309929789368
1024,10,1.0030090270812437
989,17,1.7051153460381143
1052,5,0.5015045135406219
1027,7,0.7021063189568706
1030,6,0.6018054162487462
1060,3,0.3009027081243731
964,11,1.103309929789368
961,5,0.5015045135406219
970,8,0.802407221664995
1008,12,1.2036108324974923
987,11,1.103309929789368
966,9,0.9027081243731194
990,14,1.4042126379137412
1020,7,0.7021063189568706
1059,3,0.3009027081243731
941,2,0.20060180541624875
1009,11,1.103309929789368
1010,11,1.103309929789368
993,8,0.802407221664995
1088,2,0.20060180541624875
1053,4,0.4012036108324975
1065,1,0.10030090270812438
1032,8,0.802407221664995
943,3,0.3009027081243731
1036,5,0.5015045135406219
994,13,1.3039117352056169
1039,7,0.7021063189568706
973,9,0.9027081243731194
957,5,0.5015045135406219
950,6,0.6018054162487462
1003,11,1.103309929789368
999,11,1.103309929789368
984,9,0.9027081243731194
979,10,1.0030090270812437
1004,14,1.4042126379137412
1022,13,1.3039117352056169
1042,6,0.6018054162487462
982,6,0.6018054162487462
997,5,0.5015045135406219
1048,8,0.802407221664995
1045,6,0.6018054162487462
1037,7,0.7021063189568706
1050,6,0.6018054162487462
920,1,0.10030090270812438
1014,15,1.5045135406218655
1035,7,0.7021063189568706
1040,3,0.3009027081243731
1029,14,1.4042126379137412
1051,6,0.6018054162487462
1015,15,1.5045135406218655
968,6,0.6018054162487462
959,3,0.3009027081243731
1018,12,1.2036108324974923
986,11,1.103309929789368
1068,3,0.3009027081243731
1033,5,0.5015045135406219
931,2,0.20060180541624875
1064,2,0.20060180541624875
942,1,0.10030090270812438
978,8,0.802407221664995
974,10,1.0030090270812437
953,2,0.20060180541624875
996,8,0.802407221664995
1056,3,0.3009027081243731
1046,6,0.6018054162487462
1005,6,0.6018054162487462
962,7,0.7021063189568706
1066,1,0.10030090270812438
980,9,0.9027081243731194
956,3,0.3009027081243731
1057,2,0.20060180541624875
1017,7,0.7021063189568706
971,8,0.802407221664995
991,13,1.3039117352056169
1069,1,0.10030090270812438
1061,4,0.4012036108324975
1047,3,0.3009027081243731
1078,2,0.20060180541624875
1075,1,0.10030090270812438
1044,8,0.802407221664995
1041,5,0.5015045135406219
955,1,0.10030090270812438
1034,13,1.3039117352056169
1062,2,0.20060180541624875
967,5,0.5015045135406219
945,1,0.10030090270812438
944,3,0.3009027081243731
936,1,0.10030090270812438
1077,1,0.10030090270812438
1090,1,0.10030090270812438
958,6,0.6018054162487462
914,2,0.20060180541624875
1007,10,1.0030090270812437
1096,1,0.10030090270812438
1013,6,0.6018054162487462
1043,7,0.7021063189568706
928,1,0.10030090270812438
965,5,0.5015045135406219
1026,6,0.6018054162487462
921,1,0.10030090270812438
1076,1,0.10030090270812438
1067,1,0.10030090270812438
946,3,0.3009027081243731
1072,1,0.10030090270812438
949,2,0.20060180541624875
924,1,0.10030090270812438
1084,1,0.10030090270812438
1091,1,0.10030090270812438
938,1,0.10030090270812438
1073,2,0.20060180541624875
934,1,0.10030090270812438
932,1,0.10030090270812438
1085,1,0.10030090270812438
951,2,0.20060180541624875
933,1,0.10030090270812438
918,1,0.10030090270812438
913,1,0.10030090270812438
1070,1,0.10030090270812438
940,1,0.10030090270812438
948,1,0.10030090270812438
1079,1,0.10030090270812438
917,1,0.10030090270812438
