Entries_Per_Slot,Number_Of_Slots,Percentage
936,2,0.20060180541624875
1003,12,1.2036108324974923
1055,6,0.6018054162487462
988,8,0.802407221664995
1006,13,1.3039117352056169
1010,14,1.4042126379137412
1063,5,0.5015045135406219
983,10,1.0030090270812437
1019,14,1.4042126379137412
969,8,0.802407221664995
1005,13,1.3039117352056169
1022,10,1.0030090270812437
973,9,0.9027081243731194
1001,12,1.2036108324974923
996,16,1.60481444332999
1040,7,0.7021063189568706
1036,5,0.5015045135406219
1041,6,0.6018054162487462
962,7,0.7021063189568706
998,13,1.3039117352056169
1035,9,0.9027081243731194
981,16,1.60481444332999
971,9,0.9027081243731194
1073,1,0.10030090270812438
1061,3,0.3009027081243731
976,10,1.0030090270812437
993,9,0.9027081243731194
949,4,0.4012036108324975
1002,11,1.103309929789368
1023,10,1.0030090270812437
1011,13,1.3039117352056169
987,11,1.103309929789368
999,6,0.6018054162487462
997,15,1.5045135406218655
1026,11,1.103309929789368
994,15,1.5045135406218655
1066,3,0.3009027081243731
972,5,0.5015045135406219
1021,9,0.9027081243731194
970,7,0.7021063189568706
1024,12,1.2036108324974923
980,11,1.103309929789368
1079,3,0.3009027081243731
1027,8,0.802407221664995
1012,17,1.7051153460381143
960,3,0.3009027081243731
1054,5,0.5015045135406219
1037,9,0.9027081243731194
933,3,0.3009027081243731
1051,7,0.7021063189568706
1074,2,0.20060180541624875
1025,10,1.0030090270812437
975,9,0.9027081243731194
1017,18,1.8054162487462388
991,7,0.7021063189568706
955,3,0.3009027081243731
990,9,0.9027081243731194
989,5,0.5015045135406219
1030,8,0.802407221664995
977,6,0.6018054162487462
1008,13,1.3039117352056169
957,4,0.4012036108324975
1000,13,1.3039117352056169
1009,14,1.4042126379137412
1065,4,0.4012036108324975
978,12,1.2036108324974923
986,13,1.3039117352056169
1014,15,1.5045135406218655
1038,10,1.0030090270812437
1043,7,0.7021063189568706
948,2,0.20060180541624875
1056,2,0.20060180541624875
952,5,0.5015045135406219
1049,7,0.7021063189568706
1070,3,0.3009027081243731
965,2,0.20060180541624875
959,4,0.4012036108324975
967,7,0.7021063189568706
958,4,0.4012036108324975
964,6,0.6018054162487462
966,7,0.7021063189568706
979,11,1.103309929789368
984,14,1.4042126379137412
924,2,0.20060180541624875
1033,15,1.5045135406218655
940,3,0.3009027081243731
1052,6,0.6018054162487462
941,5,0.5015045135406219
1004,10,1.0030090270812437
985,13,1.3039117352056169
956,4,0.4012036108324975
995,14,1.4042126379137412
1057,5,0.5015045135406219
1016,6,0.6018054162487462
1029,9,0.9027081243731194
907,1,0.10030090270812438
1018,12,1.2036108324974923
1020,7,0.7021063189568706
942,3,0.3009027081243731
946,3,0.3009027081243731
1048,9,0.9027081243731194
1015,9,0.9027081243731194
920,1,0.10030090270812438
1007,11,1.103309929789368
947,1,0.10030090270812438
1013,12,1.2036108324974923
1053,4,0.4012036108324975
992,14,1.4042126379137412
954,4,0.4012036108324975
951,2,0.20060180541624875
968,7,0.7021063189568706
1032,8,0.802407221664995
1059,3,0.3009027081243731
1044,4,0.4012036108324975
1042,7,0.7021063189568706
974,6,0.6018054162487462
1097,1,0.10030090270812438
950,3,0.3009027081243731
929,3,0.3009027081243731
1046,4,0.4012036108324975
939,1,0.10030090270812438
1060,2,0.20060180541624875
961,6,0.6018054162487462
1031,3,0.3009027081243731
1058,1,0.10030090270812438
944,3,0.3009027081243731
1062,2,0.20060180541624875
1028,4,0.4012036108324975
982,7,0.7021063189568706
937,3,0.3009027081243731
953,3,0.3009027081243731
1045,7,0.7021063189568706
928,2,0.20060180541624875
943,1,0.10030090270812438
932,1,0.10030090270812438
963,3,0.3009027081243731
919,1,0.10030090270812438
1050,1,0.10030090270812438
935,2,0.20060180541624875
909,1,0.10030090270812438
1047,2,0.20060180541624875
931,1,0.10030090270812438
1081,1,0.10030090270812438
1034,6,0.6018054162487462
1039,1,0.10030090270812438
