Entries_Per_Slot,Number_Of_Slots,Percentage
985,10,1.0030090270812437
1008,18,1.8054162487462388
1021,7,0.7021063189568706
984,11,1.103309929789368
979,11,1.103309929789368
953,5,0.5015045135406219
1033,11,1.103309929789368
1019,7,0.7021063189568706
1011,11,1.103309929789368
995,13,1.3039117352056169
964,9,0.9027081243731194
957,2,0.20060180541624875
1013,11,1.103309929789368
989,13,1.3039117352056169
1029,11,1.103309929789368
1022,11,1.103309929789368
1020,14,1.4042126379137412
1074,1,0.10030090270812438
993,15,1.5045135406218655
976,14,1.4042126379137412
1017,12,1.2036108324974923
1071,1,0.10030090270812438
967,10,1.0030090270812437
1035,9,0.9027081243731194
1064,6,0.6018054162487462
1023,12,1.2036108324974923
1056,7,0.7021063189568706
931,1,0.10030090270812438
1039,12,1.2036108324974923
1000,12,1.2036108324974923
1038,7,0.7021063189568706
1004,15,1.5045135406218655
983,10,1.0030090270812437
956,6,0.6018054162487462
996,9,0.9027081243731194
1076,3,0.3009027081243731
1010,19,1.9057171514543632
999,11,1.103309929789368
986,8,0.802407221664995
1050,5,0.5015045135406219
1003,11,1.103309929789368
992,11,1.103309929789368
968,3,0.3009027081243731
947,2,0.20060180541624875
1006,7,0.7021063189568706
975,9,0.9027081243731194
1018,10,1.0030090270812437
1041,7,0.7021063189568706
962,9,0.9027081243731194
977,8,0.802407221664995
988,23,2.3069207622868606
1007,9,0.9027081243731194
965,5,0.5015045135406219
1081,1,0.10030090270812438
1027,10,1.0030090270812437
960,4,0.4012036108324975
1032,7,0.7021063189568706
1034,15,1.5045135406218655
1062,1,0.10030090270812438
982,10,1.0030090270812437
1060,2,0.20060180541624875
946,3,0.3009027081243731
1055,3,0.3009027081243731
978,8,0.802407221664995
1044,9,0.9027081243731194
1057,3,0.3009027081243731
1002,18,1.8054162487462388
1051,3,0.3009027081243731
969,13,1.3039117352056169
903,1,0.10030090270812438
1001,14,1.4042126379137412
973,11,1.103309929789368
1031,9,0.9027081243731194
1014,6,0.6018054162487462
1025,6,0.6018054162487462
963,10,1.0030090270812437
1009,6,0.6018054162487462
1048,7,0.7021063189568706
994,13,1.3039117352056169
1016,7,0.7021063189568706
1037,7,0.7021063189568706
980,11,1.103309929789368
932,2,0.20060180541624875
998,13,1.3039117352056169
972,8,0.802407221664995
997,11,1.103309929789368
991,11,1.103309929789368
1015,6,0.6018054162487462
971,6,0.6018054162487462
1030,9,0.9027081243731194
1042,4,0.4012036108324975
974,13,1.3039117352056169
970,8,0.802407221664995
945,3,0.3009027081243731
1012,15,1.5045135406218655
1063,1,0.10030090270812438
899,1,0.10030090270812438
1026,9,0.9027081243731194
1075,1,0.10030090270812438
922,1,0.10030090270812438
1005,9,0.9027081243731194
959,3,0.3009027081243731
955,3,0.3009027081243731
1028,8,0.802407221664995
935,2,0.20060180541624875
987,12,1.2036108324974923
1066,3,0.3009027081243731
934,1,0.10030090270812438
1054,2,0.20060180541624875
1040,7,0.7021063189568706
1024,8,0.802407221664995
1073,5,0.5015045135406219
1045,5,0.5015045135406219
1089,2,0.20060180541624875
916,1,0.10030090270812438
1100,1,0.10030090270812438
961,4,0.4012036108324975
896,1,0.10030090270812438
929,2,0.20060180541624875
1067,3,0.3009027081243731
1092,1,0.10030090270812438
949,1,0.10030090270812438
966,8,0.802407221664995
944,2,0.20060180541624875
1082,2,0.20060180541624875
948,1,0.10030090270812438
894,1,0.10030090270812438
951,2,0.20060180541624875
1058,4,0.4012036108324975
1091,1,0.10030090270812438
936,4,0.4012036108324975
1043,1,0.10030090270812438
981,8,0.802407221664995
1084,1,0.10030090270812438
1046,2,0.20060180541624875
938,2,0.20060180541624875
950,1,0.10030090270812438
1036,2,0.20060180541624875
1079,2,0.20060180541624875
954,3,0.3009027081243731
1047,2,0.20060180541624875
1088,1,0.10030090270812438
1059,1,0.10030090270812438
1068,1,0.10030090270812438
958,2,0.20060180541624875
926,1,0.10030090270812438
1061,2,0.20060180541624875
990,5,0.5015045135406219
1052,1,0.10030090270812438
939,1,0.10030090270812438
927,3,0.3009027081243731
1070,1,0.10030090270812438
1049,3,0.3009027081243731
952,2,0.20060180541624875
1078,1,0.10030090270812438
1053,1,0.10030090270812438
941,1,0.10030090270812438
942,1,0.10030090270812438
923,1,0.10030090270812438
1069,1,0.10030090270812438
