Entries_Per_Slot,Number_Of_Slots,Percentage
979,10,1.0030090270812437
1008,12,1.2036108324974923
1010,11,1.103309929789368
1001,15,1.5045135406218655
1014,14,1.4042126379137412
997,17,1.7051153460381143
985,9,0.9027081243731194
993,20,2.0060180541624875
1054,2,0.20060180541624875
1006,13,1.3039117352056169
994,11,1.103309929789368
1000,14,1.4042126379137412
1021,14,1.4042126379137412
1065,2,0.20060180541624875
1078,4,0.4012036108324975
990,12,1.2036108324974923
998,22,2.206619859578736
1031,10,1.0030090270812437
1053,6,0.6018054162487462
1050,2,0.20060180541624875
1022,10,1.0030090270812437
975,4,0.4012036108324975
1040,5,0.5015045135406219
988,18,1.8054162487462388
1009,15,1.5045135406218655
991,15,1.5045135406218655
938,2,0.20060180541624875
1032,7,0.7021063189568706
980,15,1.5045135406218655
976,8,0.802407221664995
1072,2,0.20060180541624875
982,10,1.0030090270812437
958,5,0.5015045135406219
999,11,1.103309929789368
1049,5,0.5015045135406219
1005,13,1.3039117352056169
983,11,1.103309929789368
986,11,1.103309929789368
1025,11,1.103309929789368
960,5,0.5015045135406219
1018,9,0.9027081243731194
1029,6,0.6018054162487462
996,12,1.2036108324974923
964,7,0.7021063189568706
1002,15,1.5045135406218655
1027,6,0.6018054162487462
1028,10,1.0030090270812437
1073,1,0.10030090270812438
1058,6,0.6018054162487462
987,10,1.0030090270812437
1023,8,0.802407221664995
970,10,1.0030090270812437
924,1,0.10030090270812438
1020,8,0.802407221664995
1011,14,1.4042126379137412
1026,6,0.6018054162487462
973,3,0.3009027081243731
940,1,0.10030090270812438
981,8,0.802407221664995
1071,2,0.20060180541624875
1016,11,1.103309929789368
969,11,1.103309929789368
989,19,1.9057171514543632
1013,17,1.7051153460381143
939,4,0.4012036108324975
1035,9,0.9027081243731194
1039,11,1.103309929789368
956,4,0.4012036108324975
1003,13,1.3039117352056169
972,8,0.802407221664995
1048,7,0.7021063189568706
927,2,0.20060180541624875
1045,5,0.5015045135406219
968,5,0.5015045135406219
963,4,0.4012036108324975
984,14,1.4042126379137412
971,4,0.4012036108324975
1019,9,0.9027081243731194
992,12,1.2036108324974923
1069,3,0.3009027081243731
977,6,0.6018054162487462
1076,3,0.3009027081243731
1059,1,0.10030090270812438
1046,3,0.3009027081243731
1004,16,1.60481444332999
952,8,0.802407221664995
978,5,0.5015045135406219
944,4,0.4012036108324975
1036,11,1.103309929789368
962,2,0.20060180541624875
1015,9,0.9027081243731194
1052,4,0.4012036108324975
1074,1,0.10030090270812438
1012,11,1.103309929789368
959,4,0.4012036108324975
950,3,0.3009027081243731
1080,1,0.10030090270812438
995,16,1.60481444332999
974,2,0.20060180541624875
1047,5,0.5015045135406219
1061,4,0.4012036108324975
954,5,0.5015045135406219
1083,2,0.20060180541624875
965,4,0.4012036108324975
1030,5,0.5015045135406219
1034,7,0.7021063189568706
1038,5,0.5015045135406219
1007,9,0.9027081243731194
1017,8,0.802407221664995
1043,6,0.6018054162487462
1055,2,0.20060180541624875
1024,14,1.4042126379137412
1066,3,0.3009027081243731
1044,5,0.5015045135406219
1041,7,0.7021063189568706
966,5,0.5015045135406219
961,7,0.7021063189568706
953,2,0.20060180541624875
926,1,0.10030090270812438
921,1,0.10030090270812438
957,7,0.7021063189568706
951,2,0.20060180541624875
1051,4,0.4012036108324975
1056,3,0.3009027081243731
1033,2,0.20060180541624875
949,2,0.20060180541624875
1042,6,0.6018054162487462
1068,2,0.20060180541624875
1090,1,0.10030090270812438
955,2,0.20060180541624875
916,1,0.10030090270812438
1070,1,0.10030090270812438
937,3,0.3009027081243731
967,4,0.4012036108324975
943,2,0.20060180541624875
941,1,0.10030090270812438
1057,1,0.10030090270812438
936,1,0.10030090270812438
908,1,0.10030090270812438
946,1,0.10030090270812438
893,1,0.10030090270812438
930,1,0.10030090270812438
884,1,0.10030090270812438
947,2,0.20060180541624875
903,1,0.10030090270812438
945,2,0.20060180541624875
1082,1,0.10030090270812438
1037,1,0.10030090270812438
1063,2,0.20060180541624875
923,1,0.10030090270812438
942,1,0.10030090270812438
1062,1,0.10030090270812438
