Entries_Per_Slot,Number_Of_Slots,Percentage
990,15,1.5045135406218655
963,7,0.7021063189568706
1009,20,2.0060180541624875
1018,8,0.802407221664995
928,2,0.20060180541624875
991,9,0.9027081243731194
980,12,1.2036108324974923
956,6,0.6018054162487462
1053,4,0.4012036108324975
1020,11,1.103309929789368
959,8,0.802407221664995
996,19,1.9057171514543632
988,9,0.9027081243731194
939,2,0.20060180541624875
1010,11,1.103309929789368
1016,8,0.802407221664995
1014,12,1.2036108324974923
1059,3,0.3009027081243731
1038,10,1.0030090270812437
974,11,1.103309929789368
976,7,0.7021063189568706
995,11,1.103309929789368
1034,8,0.802407221664995
1002,13,1.3039117352056169
983,9,0.9027081243731194
1030,8,0.802407221664995
1048,2,0.20060180541624875
1036,6,0.6018054162487462
1001,18,1.8054162487462388
979,14,1.4042126379137412
1013,14,1.4042126379137412
1017,6,0.6018054162487462
934,2,0.20060180541624875
975,10,1.0030090270812437
1005,13,1.3039117352056169
1049,5,0.5015045135406219
982,10,1.0030090270812437
949,4,0.4012036108324975
1031,8,0.802407221664995
992,12,1.2036108324974923
891,1,0.10030090270812438
1050,4,0.4012036108324975
1023,10,1.0030090270812437
1015,6,0.6018054162487462
1006,12,1.2036108324974923
968,4,0.4012036108324975
970,6,0.6018054162487462
1042,9,0.9027081243731194
964,6,0.6018054162487462
977,10,1.0030090270812437
1035,6,0.6018054162487462
987,12,1.2036108324974923
1044,7,0.7021063189568706
1011,16,1.60481444332999
1055,4,0.4012036108324975
989,8,0.802407221664995
984,16,1.60481444332999
1040,4,0.4012036108324975
997,16,1.60481444332999
925,1,0.10030090270812438
1008,15,1.5045135406218655
1033,9,0.9027081243731194
998,13,1.3039117352056169
1012,10,1.0030090270812437
1054,6,0.6018054162487462
999,8,0.802407221664995
1027,6,0.6018054162487462
973,9,0.9027081243731194
1021,17,1.7051153460381143
972,8,0.802407221664995
1007,14,1.4042126379137412
1000,14,1.4042126379137412
981,12,1.2036108324974923
993,8,0.802407221664995
1037,7,0.7021063189568706
994,14,1.4042126379137412
1065,1,0.10030090270812438
969,7,0.7021063189568706
1087,1,0.10030090270812438
1029,4,0.4012036108324975
961,3,0.3009027081243731
1052,9,0.9027081243731194
966,4,0.4012036108324975
978,5,0.5015045135406219
935,2,0.20060180541624875
971,5,0.5015045135406219
1025,7,0.7021063189568706
932,1,0.10030090270812438
1019,12,1.2036108324974923
985,9,0.9027081243731194
1073,1,0.10030090270812438
1028,8,0.802407221664995
1026,12,1.2036108324974923
902,1,0.10030090270812438
1024,6,0.6018054162487462
945,3,0.3009027081243731
1045,7,0.7021063189568706
1041,4,0.4012036108324975
1004,10,1.0030090270812437
943,2,0.20060180541624875
1022,6,0.6018054162487462
1062,1,0.10030090270812438
967,8,0.802407221664995
1060,3,0.3009027081243731
946,5,0.5015045135406219
1047,6,0.6018054162487462
1095,1,0.10030090270812438
923,1,0.10030090270812438
1069,4,0.4012036108324975
1043,6,0.6018054162487462
952,5,0.5015045135406219
1074,1,0.10030090270812438
957,3,0.3009027081243731
1032,3,0.3009027081243731
1058,5,0.5015045135406219
965,4,0.4012036108324975
941,1,0.10030090270812438
954,6,0.6018054162487462
1039,6,0.6018054162487462
1083,1,0.10030090270812438
962,4,0.4012036108324975
1057,3,0.3009027081243731
1003,8,0.802407221664995
951,2,0.20060180541624875
955,4,0.4012036108324975
1064,3,0.3009027081243731
1046,5,0.5015045135406219
1068,1,0.10030090270812438
950,4,0.4012036108324975
1067,3,0.3009027081243731
1056,3,0.3009027081243731
1078,5,0.5015045135406219
1075,2,0.20060180541624875
986,6,0.6018054162487462
953,5,0.5015045135406219
958,6,0.6018054162487462
948,3,0.3009027081243731
931,1,0.10030090270812438
1070,2,0.20060180541624875
930,1,0.10030090270812438
1061,1,0.10030090270812438
960,5,0.5015045135406219
1051,3,0.3009027081243731
947,3,0.3009027081243731
1082,1,0.10030090270812438
1072,1,0.10030090270812438
1066,3,0.3009027081243731
921,1,0.10030090270812438
1076,1,0.10030090270812438
909,1,0.10030090270812438
1088,1,0.10030090270812438
917,1,0.10030090270812438
1063,1,0.10030090270812438
1079,1,0.10030090270812438
927,1,0.10030090270812438
936,3,0.3009027081243731
937,1,0.10030090270812438
940,2,0.20060180541624875
